id,name,start,end,cpu_count,avg_cpu_usage,cpu_model,memory,rapl_timeseries,cpu_usage_timeseries,core_kwh,mem_kwh,average_co2e,marginal_co2e,embodied_co2e,avg_ci,ci_timeseries
0,ichnos_cpu_high_mem_low_w01_t01,1781754942000,1781755200000,3,372.80163,Intel Xeon Silver 4314,145588224.0,,,0.0008130454048771876,6.018090142822266e-07,0.0019035087348708635,0.0019035087348708635,0.0,1.0,
1,ichnos_cpu_high_mem_low_w01_t02,1781754942000,1781755200000,4,392.366292,Intel Xeon Silver 4314,145453056.0,,,0.0008486842024471251,6.459537786426545e-07,0.001986991440603435,0.001986991440603435,0.0,1.0,
2,ichnos_cpu_high_mem_low_w01_t03,1781754942000,1781755200000,3,376.253495,Intel Xeon Silver 4314,145457152.0,,,0.0008170344643925002,6.068534845886231e-07,0.001917194587040055,0.001917194587040055,0.0,1.0,
3,ichnos_cpu_high_mem_low_w01_t04,1781754942000,1781755200000,3,387.843637,Intel Xeon Silver 4314,145461248.0,,,0.0008620646306695036,5.561800638306936e-07,0.002018088012744578,0.002018088012744578,0.0,1.0,
4,ichnos_cpu_high_mem_low_w02_t01,1781755548000,1781755800000,3,384.282621,Intel Xeon Silver 4314,145498112.0,,,0.0008150634391410002,5.929075256195069e-07,0.001959591715745813,0.001959591715745813,0.0,1.0,
5,ichnos_cpu_high_mem_low_w02_t02,1781755548000,1781755800000,4,379.358523,Intel Xeon Silver 4314,145444864.0,,,0.0008014660095605627,6.308960633125306e-07,0.001927018718215988,0.001927018718215988,0.0,1.0,
6,ichnos_cpu_high_mem_low_w02_t04,1781755548000,1781755800000,3,394.563068,Intel Xeon Silver 4314,145448960.0,,,0.0008404933154152501,5.872511764526368e-07,0.0020206827107513816,0.0020206827107513816,0.0,1.0,
7,ichnos_cpu_high_mem_low_w02_t03,1781755549000,1781755800000,3,360.668764,Intel Xeon Silver 4314,145477632.0,,,0.0007799121807330256,5.411508526188533e-07,0.0018793844818472236,0.0018793844818472236,0.0,1.0,
8,ichnos_cpu_high_mem_low_w03_t01,1781756155000,1781756400000,4,380.281713,Intel Xeon Silver 4314,145510400.0,,,0.00078417258234875,5.764865550200144e-07,0.0019401143031775342,0.0019401143031775342,0.0,1.0,
9,ichnos_cpu_high_mem_low_w03_t02,1781756155000,1781756400000,3,363.729626,Intel Xeon Silver 4314,145514496.0,,,0.0007532897387214062,5.71195895767212e-07,0.001859550305911885,0.001859550305911885,0.0,1.0,
10,ichnos_cpu_high_mem_low_w03_t03,1781756155000,1781756400000,3,368.542254,Intel Xeon Silver 4314,145461248.0,,,0.0007569864295463021,6.134402673927943e-07,0.0018687762372359912,0.0018687762372359912,0.0,1.0,
11,ichnos_cpu_high_mem_low_w03_t04,1781756155000,1781756400000,4,367.312136,Intel Xeon Silver 4314,145457152.0,,,0.0007752911246034954,5.281406147978042e-07,0.0019137212980370783,0.0019137212980370783,0.0,1.0,
12,ichnos_cpu_high_mem_low_w04_t01,1781756762000,1781757000000,4,364.287137,Intel Xeon Silver 4314,145473536.0,,,0.0007328887997788437,5.547198243204752e-07,0.0018650143574460442,0.0018650143574460442,0.0,1.0,
13,ichnos_cpu_high_mem_low_w04_t02,1781756762000,1781757000000,3,386.294984,Intel Xeon Silver 4314,145432576.0,,,0.0007707805515645278,5.957959415728252e-07,0.001961477167547309,0.001961477167547309,0.0,1.0,
14,ichnos_cpu_high_mem_low_w04_t03,1781756762000,1781757000000,4,381.821045,Intel Xeon Silver 4314,145506304.0,,,0.0007828891408945429,5.13224249994066e-07,0.001992060550299508,0.001992060550299508,0.0,1.0,
15,ichnos_cpu_high_mem_low_w04_t04,1781756762000,1781757000000,3,376.19901,Intel Xeon Silver 4314,145498112.0,,,0.000753589316865,5.599682186406454e-07,0.001920577408327922,0.001920577408327922,0.0,1.0,
