id,name,start,end,cpu_count,avg_cpu_usage,cpu_model,memory,rapl_timeseries,cpu_usage_timeseries,core_kwh,mem_kwh,average_co2e,marginal_co2e,embodied_co2e,avg_ci,ci_timeseries
0,ichnos_cpu_med_mem_high_w01_t01,1781707748000,1781707800000,2,188.26971,Intel Xeon Silver 4314,2162409472.0,,,7.678999291864266e-05,1.666439997824775e-06,0.000917007840593008,0.000917007840593008,0.0,1.0,
1,ichnos_cpu_med_mem_high_w01_t02,1781707748000,1781707800000,1,193.380543,Intel Xeon Silver 4314,2162475008.0,,,8.079837486269791e-05,1.818375221242269e-06,0.0009634384086711794,0.0009634384086711794,0.0,1.0,
2,ichnos_cpu_med_mem_high_w01_t03,1781707748000,1781707800000,2,178.393022,Intel Xeon Silver 4314,2162462720.0,,,7.1736462904536e-05,1.8016262758890788e-06,0.0008575686695595952,0.0008575686695595952,0.0,1.0,
3,ichnos_cpu_med_mem_high_w01_t04,1781707748000,1781707800000,2,189.282425,Intel Xeon Silver 4314,2162462720.0,,,7.533243345807289e-05,1.9355788127454122e-06,0.0009010668687893992,0.0009010668687893992,0.0,1.0,
4,ichnos_cpu_med_mem_high_w02_t01,1781708357000,1781708400000,1,182.478669,Intel Xeon Silver 4314,2162495488.0,,,6.304738334977516e-05,1.503670673523585e-06,0.0009131136900294355,0.0009131136900294355,0.0,1.0,
5,ichnos_cpu_med_mem_high_w02_t02,1781708357000,1781708400000,2,195.851013,Intel Xeon Silver 4314,2162552832.0,,,6.512579394051493e-05,1.4898684252548219e-06,0.0009405403401365018,0.0009405403401365018,0.0,1.0,
6,ichnos_cpu_med_mem_high_w02_t04,1781708357000,1781708400000,1,190.805088,Intel Xeon Silver 4314,2162462720.0,,,6.279524637025e-05,1.6005747874625527e-06,0.0009092001061940347,0.0009092001061940347,0.0,1.0,
7,ichnos_cpu_med_mem_high_w02_t03,1781708358000,1781708400000,1,185.06704,Intel Xeon Silver 4314,2162409472.0,,,6.0967614066616153e-05,1.3459707674738568e-06,0.0009029831905172348,0.0009029831905172348,0.0,1.0,
8,ichnos_cpu_med_mem_high_w03_t01,1781708968000,1781709000000,2,191.732442,Intel Xeon Silver 4314,2162454528.0,,,4.812452016011111e-05,1.025522904490153e-06,0.0009307482217589711,0.0009307482217589711,0.0,1.0,
9,ichnos_cpu_med_mem_high_w03_t02,1781708968000,1781709000000,1,196.615958,Intel Xeon Silver 4314,2162544640.0,,,4.8655002030833354e-05,1.1087350931803386e-06,0.0009469463781489308,0.0009469463781489308,0.0,1.0,
10,ichnos_cpu_med_mem_high_w03_t03,1781708968000,1781709000000,2,191.614045,Intel Xeon Silver 4314,2162495488.0,,,4.9267874218564816e-05,1.1190107337849936e-06,0.000954171716572184,0.000954171716572184,0.0,1.0,
11,ichnos_cpu_med_mem_high_w03_t04,1781708968000,1781709000000,2,196.631934,Intel Xeon Silver 4314,2162380800.0,,,4.8158437835499995e-05,1.191080300140381e-06,0.0009345287405897384,0.0009345287405897384,0.0,1.0,
12,ichnos_cpu_med_mem_high_w04_t01,1781709578000,1781709600000,2,199.60379,Intel Xeon Silver 4314,2162429952.0,,,3.444389798896991e-05,7.050389840742747e-07,0.000970278416746118,0.000970278416746118,0.0,1.0,
13,ichnos_cpu_med_mem_high_w04_t02,1781709578000,1781709600000,2,189.061652,Intel Xeon Silver 4314,2162524160.0,,,3.216509824260418e-05,7.62248157755534e-07,0.0009089534105916751,0.0009089534105916751,0.0,1.0,
14,ichnos_cpu_med_mem_high_w04_t03,1781709578000,1781709600000,2,185.534294,Intel Xeon Silver 4314,2162487296.0,,,3.1240303076697906e-05,8.189080351060233e-07,0.0008833230720529275,0.0008833230720529275,0.0,1.0,
15,ichnos_cpu_med_mem_high_w04_t04,1781709578000,1781709600000,1,188.506978,Intel Xeon Silver 4314,2162483200.0,,,3.3322426500521996e-05,7.693155079523722e-07,0.0009393282179348574,0.0009393282179348574,0.0,1.0,
